screenH,OS,Browser,screenW,workerid
900,Windows,Chrome,1600,0
1080,Windows,Chrome,1920,1
1080,Windows,Chrome,1920,2
800,Windows,Chrome,1280,3
768,Windows,Chrome,1024,4
1080,Windows,Chrome,1920,5
1080,Windows,Chrome,1920,6
615,Windows,Chrome,820,7
768,Windows,Chrome,1024,8
1080,Windows,Chrome,1920,9
864,Windows,Firefox,1536,10
900,Windows,Chrome,1600,11
1080,Windows,Chrome,1920,12
768,Windows,Chrome,1366,13
1080,Windows,Chrome,1920,14
1080,Windows,Chrome,1920,15
768,Windows,Chrome,1360,16
900,Windows,Chrome,1600,17
768,Windows,Chrome,1366,18
768,Windows,Chrome,1366,19
768,Windows,Chrome,1366,20
768,Windows,Chrome,1366,21
1080,Windows,Chrome,1920,22
900,Windows,Chrome,1600,23
768,Windows,Chrome,1366,24
900,Mac,Chrome,1440,25
864,Windows,Firefox,1536,26
720,Windows,Chrome,1280,27
1080,Windows,Chrome,1920,28
864,Windows,Chrome,1536,29
768,Windows,Chrome,1366,30
651,Windows,Chrome,1158,31
768,Windows,Chrome,1366,32
1080,Windows,Chrome,1920,33
768,Windows,Chrome,1366,34
1200,Windows,Chrome,1920,35
768,Windows,Chrome,1366,36
864,Windows,Chrome,1536,37
768,Windows,Chrome,1360,38
800,Windows,Chrome,1280,39
768,Windows,Chrome,1366,40
720,Windows,Firefox,1280,41
1188,Windows,Firefox,2112,42
720,Windows,Chrome,1280,43
768,Windows,Chrome,1366,44
1080,Windows,Chrome,1920,45
900,Mac,Chrome,1440,46
1080,Windows,Chrome,1920,47
1080,Windows,Firefox,1920,48
960,Windows,Chrome,1440,49
792,Windows,Firefox,1408,50
1080,Windows,Chrome,1920,51
1080,Windows,Chrome,1920,52
768,Windows,Chrome,1366,53
768,Windows,Chrome,1366,54
768,Windows,Chrome,1366,55
864,Windows,Chrome,1536,56
720,Windows,Chrome,1280,57
768,Windows,Chrome,1366,58
800,Mac,Chrome,1280,59
1152,Windows,Chrome,2048,60
774,Linux,Firefox,1376,61
768,Windows,Chrome,1366,62
768,Windows,Chrome,1366,63
1080,Windows,Chrome,1920,64
768,Windows,Firefox,1360,65
864,Windows,Chrome,1536,66
800,Mac,Chrome,1280,67
768,Windows,Chrome,1366,68
1440,Mac,Chrome,2560,69
768,Windows,Chrome,1364,70
768,Windows,Firefox,1366,71
1080,Windows,Chrome,1920,72
768,Linux,Chrome,1366,73
768,Windows,Chrome,1364,74
1080,Windows,Chrome,1920,75
768,Windows,Chrome,1366,76
768,Windows,Chrome,1366,77
720,Windows,Chrome,1280,78
1080,Windows,Chrome,1920,79
1080,Windows,Chrome,1920,80
864,Windows,Chrome,1536,81
900,Windows,Chrome,1440,82
768,Windows,Chrome,1366,83
768,Windows,Chrome,1366,84
720,Windows,Chrome,1280,85
1050,Windows,Firefox,1680,86
768,Windows,Chrome,1366,87
1080,Windows,Chrome,1920,88
768,Windows,Chrome,1360,89
768,Windows,Chrome,1366,90
1050,Mac,Chrome,1680,91
1080,Linux,Chrome,1920,92
864,Windows,Chrome,1536,93
768,Windows,Chrome,1366,94
864,Windows,Chrome,1536,95
864,Windows,Chrome,1536,96
864,Linux,Chrome,1536,97
864,Windows,Chrome,1536,98
900,Mac,Chrome,1440,99
1440,Windows,Firefox,2560,100
1080,Windows,Chrome,1920,101
768,Windows,Chrome,1364,102
768,Windows,Chrome,1366,103
768,Windows,Chrome,1366,104
1080,Windows,Chrome,1920,105
900,Mac,Chrome,1440,106
768,Windows,Chrome,1366,107
1080,Windows,Chrome,1920,108
1080,Windows,Chrome,1920,109
1440,Windows,Chrome,3440,110
800,Mac,Chrome,1280,111
768,Windows,Chrome,1366,112
768,Windows,Chrome,1366,113
1080,Windows,Chrome,1920,114
1080,Windows,Chrome,1920,115
1050,Windows,Chrome,1680,116
1080,Windows,Chrome,1920,117
900,Windows,Firefox,1600,118
1152,Mac,Chrome,2048,119
768,Windows,Chrome,1366,120
990,Windows,Firefox,1760,121
900,Windows,Chrome,1600,122
1080,Windows,Chrome,1920,123
1080,Windows,Chrome,1920,124
768,Windows,Chrome,1366,125
1050,Windows,Chrome,1680,126
800,Windows,Chrome,1280,127
768,Windows,Chrome,1360,128
1440,Windows,Chrome,2560,129
1080,Windows,Chrome,1920,130
1080,Windows,Chrome,1920,131
1080,Windows,Firefox,1920,132
1080,Linux,Firefox,1920,133
1080,Windows,Chrome,1920,134
864,Windows,Chrome,1536,135
1080,Windows,Chrome,1920,136
768,Windows,Chrome,1366,137
768,Windows,Chrome,1366,138
943,Windows,Chrome,1676,139
1080,Windows,Chrome,1920,140
768,Windows,Chrome,1364,141
768,Windows,Chrome,1366,142
1200,Windows,Chrome,1920,143
1080,Windows,Chrome,1920,144
768,Windows,Chrome,1366,145
1080,Windows,Chrome,1920,146
1080,Windows,Chrome,1920,147
768,Windows,Chrome,1366,148
1080,Windows,Chrome,1920,149
1080,Windows,Chrome,1920,150
864,Windows,Chrome,1536,151
768,Windows,Chrome,1366,18
768,Windows,Chrome,1366,152
768,Windows,Chrome,1366,153
900,Mac,Chrome,1440,154
768,Windows,Chrome,1366,155
864,Windows,Chrome,1536,156
979,Windows,Chrome,1739,157
864,Windows,Chrome,1536,158
768,Windows,Chrome,1366,159
768,Windows,Chrome,1366,160
900,Windows,Chrome,1600,161
900,Windows,Chrome,1600,162
900,Windows,Chrome,1600,163
1200,Windows,Chrome,1600,164
768,Windows,Chrome,1366,165
1200,Windows,Chrome,1920,166
720,Windows,Chrome,1280,167
768,Windows,Chrome,1366,168
1080,Windows,Chrome,1920,169
768,Windows,Chrome,1366,170
768,Windows,Chrome,1366,171
864,Windows,Chrome,1536,172
768,Windows,Chrome,1366,173
768,Windows,Chrome,1366,174
1080,Windows,Chrome,1920,175
800,Windows,Chrome,1280,176
768,Windows,Chrome,1366,177
1440,Windows,Firefox,2560,178
864,Windows,Chrome,1536,179
853,Linux,Chrome,1517,180
768,Windows,Chrome,1366,18
768,Windows,Chrome,1366,181
768,Windows,Chrome,1366,182
864,Windows,Chrome,1536,183
1080,Mac,Chrome,1920,184
864,Windows,Chrome,1536,185
900,Windows,Chrome,1440,186
1080,Windows,Chrome,1920,187
900,Mac,Chrome,1440,188
768,Windows,Chrome,1366,189
768,Windows,Chrome,1366,190
768,Windows,Chrome,1366,191
1080,Windows,Chrome,1920,192
1440,Mac,Chrome,2560,193
864,Windows,Chrome,1536,194
1080,Linux,Firefox,1920,195
1080,Mac,Firefox,1920,196
768,Windows,Chrome,1366,18
768,Windows,Chrome,1366,197
768,Windows,Chrome,1366,198
864,Windows,Chrome,1536,199
768,Windows,Chrome,1366,200
2160,Windows,Chrome,3840,201
1080,Windows,Chrome,1920,202
1080,Windows,Chrome,1920,203
1080,Windows,Firefox,1920,204
1080,Windows,Chrome,1920,205
900,Mac,Chrome,1440,206
768,Windows,Firefox,1366,207
912,Windows,Chrome,1368,208
1133,Windows,Chrome,1885,209
768,Windows,Chrome,1366,210
900,Windows,Firefox,1600,211
768,Linux,Chrome,1366,212
1080,Windows,Chrome,1920,213
864,Linux,Chrome,1536,214
768,Windows,Chrome,1366,18
864,Windows,Chrome,1536,215
1200,Windows,Chrome,1920,216
1080,Windows,Chrome,1920,217
840,Windows,Chrome,1344,218
720,Windows,Chrome,1280,219
1080,Windows,Chrome,1920,220
1080,Windows,Chrome,2560,221
768,Windows,Chrome,1366,222
900,Windows,Chrome,1600,223
864,Windows,Chrome,1536,224
800,Mac,Chrome,1280,225
768,Windows,Chrome,1366,226
864,Windows,Chrome,1536,227
864,Windows,Chrome,1536,228
864,Windows,Chrome,1536,229
864,Windows,Chrome,1536,230
768,Windows,Chrome,1366,231
864,Windows,Firefox,1536,232
768,Windows,Chrome,1366,233
900,Windows,Chrome,1600,234
1200,Windows,Firefox,1920,235
864,Windows,Chrome,1536,236
1080,Windows,Firefox,1920,237
1050,Windows,Chrome,1680,238
720,Windows,Chrome,1280,239
1440,Windows,Chrome,2560,240
768,Windows,Chrome,1366,241
768,Windows,Chrome,1364,242
1080,Windows,Firefox,1920,243
900,Mac,Chrome,1440,244
1080,Windows,Chrome,1920,245
768,Windows,Chrome,1366,246
823,Linux,Chrome,412,247
864,Windows,Chrome,1536,248
768,Windows,Chrome,1366,249
768,Windows,Chrome,1366,250
768,Windows,Chrome,1366,251
864,Windows,Chrome,1536,252
900,Windows,Chrome,1600,253
768,Windows,Chrome,1366,254
900,Mac,Chrome,1440,255
1080,Windows,Chrome,1920,256
768,Windows,Chrome,1366,257
800,Mac,Chrome,1280,258
800,Mac,Chrome,1280,259
900,Windows,Chrome,1440,260
768,Windows,Chrome,1366,261
768,Windows,Chrome,1366,262
900,Windows,Chrome,1600,263
768,Linux,Chrome,1366,264
768,Windows,Chrome,1366,265
768,Windows,Chrome,1366,266
1050,Windows,Firefox,1680,267
900,Windows,Chrome,1440,268
768,Windows,Chrome,1366,269
1080,Mac,Chrome,1920,270
1152,Windows,Chrome,2048,271
1080,Windows,Chrome,1920,272
768,Windows,Chrome,1366,273
768,Windows,Chrome,1366,274
768,Windows,Chrome,1366,275
800,Windows,Chrome,1280,127
1440,Windows,Chrome,2560,276
768,Windows,Chrome,1366,277
768,Windows,Chrome,1366,278
768,Windows,Chrome,1366,279
768,Windows,Chrome,1366,280
1440,Windows,Chrome,2560,281
900,Mac,Firefox,1440,282
900,Windows,Firefox,1600,283
900,Mac,Chrome,1440,284
768,Windows,Chrome,1366,285
768,Windows,Chrome,1366,286
768,Windows,Chrome,1366,287
800,Windows,Chrome,1280,288
800,Mac,Chrome,1280,289
1080,Windows,Firefox,1920,237
1080,Windows,Chrome,1920,290
768,Windows,Chrome,1366,291
768,Windows,Chrome,1366,292
768,Windows,Chrome,1366,293
768,Windows,Chrome,1366,294
768,Windows,Chrome,1366,295
1080,Windows,Chrome,1920,296
1080,Windows,Chrome,1920,297
768,Windows,Chrome,1366,298
1080,Windows,Chrome,1920,299
768,Windows,Chrome,1366,300
768,Windows,Chrome,1366,301
768,Windows,Chrome,1366,302
900,Windows,Chrome,1440,303
960,Linux,Chrome,1706,304
720,Windows,Chrome,1280,305
768,Windows,Chrome,1366,306
1440,Mac,Safari,2560,307
864,Windows,Chrome,1536,308
900,Windows,Firefox,1600,309
768,Windows,Chrome,1366,310
768,Windows,Chrome,1366,311
768,Windows,Chrome,1366,18
768,Windows,Chrome,1366,312
1080,Windows,Chrome,1920,313
1080,Windows,Chrome,1920,314
1080,Windows,Chrome,1920,315
768,Windows,Chrome,1366,316
1080,Windows,Chrome,1920,317
768,Windows,Chrome,1366,44
1080,Windows,Chrome,1920,318
864,Windows,Firefox,1536,319
800,Mac,Chrome,1280,320
768,Windows,Chrome,1366,321
768,Windows,Chrome,1280,322
768,Windows,Chrome,1366,44
1024,Windows,Chrome,1280,323
768,Windows,Chrome,1366,324
768,Windows,Chrome,1366,325
864,Windows,Chrome,1536,326
864,Windows,Chrome,1536,327
768,Linux,Chrome,1366,328
768,Windows,Chrome,1366,329
720,Windows,Chrome,1280,330
864,Windows,Chrome,1536,331
768,Windows,Chrome,1366,332
768,Windows,Chrome,1366,44
768,Windows,Chrome,1366,333
768,Windows,Chrome,1366,334
1080,Windows,Chrome,1920,335
768,Windows,Chrome,1366,336
720,Windows,Chrome,1280,337
780,Windows,Chrome,1386,338
1080,Windows,Chrome,1920,339
1080,Linux,Chrome,1920,340
1050,Mac,Chrome,1680,341
768,Windows,Chrome,1366,342
1080,Windows,Firefox,1920,343
1080,Windows,Chrome,1920,344
1080,Windows,Chrome,1920,345
1080,Windows,Chrome,1920,346
768,Windows,Chrome,1366,18
768,Windows,Chrome,1366,347
900,Windows,Chrome,1600,17
